"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Ministry of Education","452","MoE_2023_005","EQUITY WITH QUALITY AND LEARNING AT SECONDARY (EQUALS) PROJECT","implementation","construction","The EQUALS Project is a Ministry of Education intervention which seeks to improve the quality of mathematics and science instruction in CDSSs and increase access to secondary education in remote areas. The Project emanates from a background of acute secondary education subsector’s challenges such as: persistently low learner achievement levels in Mathematics and Science subjects; inadequate enabling strategic policy reform agenda; low primary to secondary learner transition rate; inadequate and underqualified teachers; inadequate purposely built and resourced science learning space; unavailability or inadequate quantities of learner core textbooks, Teachers’ Guides, supplementary reading materials; and disparities in resource allocation. The EQUALS Project is funded by the World Bank through an initial $90million credit facility and later an Additional Financing (AF) through a Grant of $5.0million for mitigating the impact the COVID-19 pandemic. The total financing is therefore $95.0 million with a life span of six years running from October, 2019 to December, 2025.","The EQUALs project has a primary objective of improving the quality of mathematics and science instruction in CDSS and increase access to secondary education in selected remote areas.","2019-10-01","2025-12-31","USD","95000000.00",""
"Roads Authority","456","RA/MAI/SR/2022-2023","The Road and Bridge Maintenance Programme for the 2022/23 South","implementation","rehabilitation","The Road and Bridge Maintenance Programme for the 2022/23 Financial Year works consist of Sectional Periodic Maintenance, Rehabilitation, Retainer Pothole Patching, Emergency and Urgent works, Routine Term Maintenance; Grading and Reshaping of Trunk, Urban and District Roads and Associated Drainage Works","Sectional Periodic Road Maintenance","2022-12-01","2023-10-01","MWK","3966375520.85",""
"Ministry of Education","457","MoE_2023_006","SKILLS FOR VIBRANT ECONOMY (SAVE) PROJECT","preparation","construction","The Government of Malawi with support from World Bank is implementing a five year Skills for Vibrant Economy (SAVE) Project through the Ministry of education in collaboration with the Ministry of Labour, The total cost of the project is $100 million. The overall project objective is to increase equitable access to market relevant skills in priority areas of the economy, especially for the females and vulnerable youths in the targeted institutions. The SAVE project became effective on 14th October 2021 and is expected to close on 30 June 2026.","The purpose of the project is to increase equitable access to market relevant skills in priority areas of the economy, especially for the females and vulnerable youths in the targeted institutions.","2021-10-14","2026-06-30","USD","100000000.00",""
"Ministry of Education","459","MoE_2023_007","SECONDARY EDUCATION EXPANSION FOR DEVELOPMENT (SEED) PROJECT","implementation","construction","The Ministry through the Secondary Education Expansion for Development (SEED) Project is constructing 250 secondary schools across the country. The overall Project objective is to increase access to secondary education through expanding schools in urban areas and establishing new schools in rural areas. The total Project cost is USD90 million and is funded by the Government of the United States of America.","The purpose of the project is to increase access to secondary education through expanding schools in urban areas and establishing new schools in rural areas","2018-06-01","2023-06-30","USD","90000000.00",""
"Ministry of Education","460","MoE_2023_008","SECONDARY EDUCATION IN MALAWI (ISEM II) PROJECT","preparation","construction","ISEM II Project aims at upgrading and expanding secondary school infrastructure, and expanding technical vocational education facilities in secondary schools, including improved WASH facilities and climate resilient infrastructure. The upgrading and expansion of secondary schools, focuses on infrastructure works for selected CDSSs in the original six (6) ISEM I demonstration districts and six (6) additional districts. The Project will run from 2021 to 2025.","aims at upgrading and expanding secondary school infrastructure, and expanding technical vocational education facilities in secondary schools, including improved WASH facilities and climate resilient infrastructure","2021-07-01","2025-12-31","EUR","55000000.00",""
"Ministry of Education","463","MoE_2023_010","MALAWI EDUCATION REFORM PROGRAM (MERP)","preparation","construction","This Programme is co-financed by the Government, World Bank and Global Education Partners (GPE). The main objective of the programme is to improve learning environments for students in lower primary in public schools. The duration of the programme is 4 years, which will run from December 2021 to December 2025. The programme consists of five components namely: Expanding and reforming primary school improvement grants; Improving learning environments in lower primary to support learning recovery after COVID-19; supporting girls‟ learning; School leadership; and Project coordination and capacity building.","The main objective of the programme is to improve learning environments for students in lower primary in public schools","2021-12-01","2025-12-01","USD","210500000.00",""
"Ministry of Education","462","MoE_2023_009","INKOSI YA MAKHOSI M'MBELWA UNIVERSITY","preparation","construction","The project involves construction of a new University that shall have four schools and a high-tech Livestock Industrial Centre as follows: School of Basic Sciences; School of Animal Sciences with an Animal Farm; School of Veterinary Medicine with a Veterinary Clinic; School of Human Health Sciences; and a High-tech Livestock Industrial Centre with 4 hubs.","To increase enrolment","2014-07-01","2025-10-15","USD","535000000.00",""
"Kasungu Municipal Council","466","KUMC/RDB/2022-2023/","RENOVATION OF MAIN BUS DEPOT","implementation","replacement","The project involves laying concrete in the bus depot","The purpose of the project is to improve the overall outlook of the depot and the manoeuvrability of vehicles","2022-07-06","2024-03-31","MWK","24500000.00",""
"MALAWI COLLEGE OF HEALTH SCIENCES","390","06/2008","Infrastructure Rehabiliotation and Expansion at Malawi College of Health Sciences","implementation","construction","Construction of one Auditorium, two hostels, two classrooms, one Library and administration block","To increase teaching and learning space. To increase accommodation space, Increase office space and increase library space","2009-06-29","2013-03-29","MWK","624271476.65",""
"Ntcheu District Council","442","091/NUDC/GESD/WORKS/NAMITENGO SCHOOL BLOCK/21/22FY/05","CONSTRUCTION OF NAMITENGO SCHOOL BLOCK","implementation","construction","The project will involve construction of a primary school block. It will involve a complete double classroom block and furniture.","The project aims at addressing very high enrolment rates.","2022-01-10","2022-04-10","MWK","23105985.00",""
"Ntcheu District Council","434","091/NUDC/GESD/WORKS/MANJAWIRA HEALTH STAFF HOUSE/21/22FY/07","CONSTRUCTION OF MANJAWIRA HEALTH STAFF HOUSE","implementation","construction","The project will involve construction of the complete house, sanitary fittings, soil. Waste & vent services, cold water services and electrical installation.","The project will provide accommodation near the health facility for quick health service delivery to the patients.","2022-01-10","2022-04-10","MWK","39193241.00",""
"Ntcheu District Council","439","001/NUDC/GESD/WORKS/CONSTRUCTION OF SCHOOL BLOCK/BWANJE NORTH","CONSTRUCTION OF NANYANGU SCHOOL BLOCK","implementation","construction","The project will involve construction of a primary school block. It will involve a complete double classroom block and furniture.","The project aims at addressing very high enrollment rates.","2023-01-10","2023-04-10","MWK","30428485.50",""
"Kasungu Municipal Council","471","KUMC/RR/7/2022-2023/12","ROAD RESHAPING FROM MIKAYA'S RESIDENCE TO JEHOVAH'S WITNESS CHURCH","completion","construction","The project involved forming a road camber and drainage systems using labour intensive","To improve accessibility within the ward","2022-07-06","2024-03-31","MWK","1000000.00",""
"Kasungu Municipal Council","477","KUMC/CFPB/9/2022-2023/17","CONSTRUCTION OF FOOTPATH BRIDGE AT KAVUNGUTI WARD","implementation","construction","The project involves excavations ,concrete works,masonry works,steel work","To improve accessibility between Mtondo area and Kavunguti Area","2022-07-06","2024-03-31","MWK","16500000.00",""
"Ntcheu District Council","383","091/NUDC/GESD/WORKS/MPHIKA SCHOOL BLOCK/21/22FY/04","CONSTRUCTION OF MPHIKA SCHOOL BLOCK","implementation","construction","The project will involve construction of a primary school block. It will involve a complete double classroom block and furniture.","The project aims at addressing very high enrolment rates.","2023-01-10","2022-03-30","MWK","26680120.00",""
"Roads Authority","478","RA/MA/CR/2022-2023","The Road and Bridge Maintenance Programme for the 2022/23 CENTRAL REGION","implementation","rehabilitation","The Road and Bridge Maintenance Programme for the 2022/23 Financial Year works consist of Sectional Periodic Maintenance, Rehabilitation, Retainer Pothole Patching, Emergency and Urgent works, Routine Term Maintenance; Grading and Reshaping of Trunk, Urban and District Roads and Associated Drainage Works","Sectional Periodic Road Maintenance","2022-12-01","2023-10-02","MWK","3194341003.35",""
"Ministry of Health","481","70263/19850","Construction of Mponela Community Hospital","implementation","construction","To Construct a community hospital  with the following structures an administration block, an outpatient Department, Maternity block, X- Ray block, Paediatrics, Nutrition and rehabilitation unit, Kitchen and Laundry, Laboratory, Maternal and child health, Mortuary, Ten professional houses, Thirty-five standard houses","To improve the provision of Health Services at Mponela Trading Centre which has a growing population that can not be supported by the existing Mponela Health Centre","2018-07-01","2023-12-30","MWK","7593622080.13",""
